"blas multithreaded","tamano","threads","seg","icc omp+mkl","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","gcc omp+mkl","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","icc omp+atlas","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","gcc omp+atlas","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos"
,,,,,5000,1,75,1.495345,,,,,,,,,,,,,,,
,,,,,5000,1,75,1.466232,,,,,,,,,,,,,,,
,,,,,5000,1,76,1.392576,,,,,,,,,,,,,,,
,,,,,5000,1,76,1.349550,,,,,,,,,,,,,,,
,,,,,5000,1,77,1.639435,,,,,,,,,,,,,,,
,,,,,5000,1,77,1.627513,,,,,,,,,,,,,,,
,,,,,5000,1,78,1.340458,,,,,,,,,,,,,,,
,,,,,5000,1,78,1.309712,,,,,,,,,,,,,,,
,,,,,5000,1,79,1.354563,,,,,,,,,,,,,,,
,,,,,5000,1,79,1.400031,,,,,,,,,,,,,,,
,,,,,5000,1,80,1.487228,,,,,,,,,,,,,,,
,,,,,5000,1,80,1.492459,,,,,,,,,,,,,,,
,,,,,5000,1,81,1.611905,,,,,,,,,,,,,,,
,,,,,5000,1,81,1.595491,,,,,,,,,,,,,,,
,,,,,5000,1,82,1.771000,,,,,,,,,,,,,,,
,,,,,5000,1,82,1.749706,,,,,,,,,,,,,,,
,,,,,5000,1,83,1.448042,,,,,,,,,,,,,,,
,,,,,5000,1,83,1.424081,,,,,,,,,,,,,,,
,,,,,5000,1,84,1.642288,,,,,,,,,,,,,,,
,,,,,5000,1,84,1.619495,,,,,,,,,,,,,,,
,,,,,5000,1,85,1.521032,,,,,,,,,,,,,,,
,,,,,5000,1,85,1.484073,,,,,,,,,,,,,,,
,,,,,5000,1,86,1.551304,,,,,,,,,,,,,,,
,,,,,5000,1,86,1.513904,,,,,,,,,,,,,,,
,,,,,5000,1,87,1.578789,,,,,,,,,,,,,,,
,,,,,5000,1,87,1.579826,,,,,,,,,,,,,,,
,,,,,5000,1,88,1.807968,,,,,,,,,,,,,,,
,,,,,5000,1,88,1.782112,,,,,,,,,,,,,,,
,,,,,5000,1,89,1.506824,,,,,,,,,,,,,,,
,,,,,5000,1,89,1.494651,,,,,,,,,,,,,,,
,,,,,5000,1,90,1.556578,,,,,,,,,,,,,,,
,,,,,5000,1,90,1.548408,,,,,,,,,,,,,,,
,,,,,5000,1,91,1.610709,,,,,,,,,,,,,,,
,,,,,5000,1,91,1.591046,,,,,,,,,,,,,,,
,,,,,5000,1,92,1.616320,,,,,,,,,,,,,,,
,,,,,5000,1,92,1.604927,,,,,,,,,,,,,,,
,,,,,5000,1,93,1.849858,,,,,,,,,,,,,,,
,,,,,5000,1,93,1.832171,,,,,,,,,,,,,,,
,,,,,5000,1,94,1.648428,,,,,,,,,,,,,,,
,,,,,5000,1,94,1.632223,,,,,,,,,,,,,,,
,,,,,5000,1,95,1.817154,,,,,,,,,,,,,,,
,,,,,5000,1,95,1.805321,,,,,,,,,,,,,,,
,,,,,5000,1,96,1.647846,,,,,,,,,,,,,,,
,,,,,5000,1,96,1.629217,,,,,,,,,,,,,,,
,,,,,5000,1,97,1.783302,,,,,,,,,,,,,,,
,,,,,5000,1,97,1.784833,,,,,,,,,,,,,,,
,,,,,5000,1,98,1.684918,,,,,,,,,,,,,,,
,,,,,5000,1,98,1.667082,,,,,,,,,,,,,,,
,,,,,5000,1,99,1.767483,,,,,,,,,,,,,,,
,,,,,5000,1,99,1.753074,,,,,,,,,,,,,,,
,,,,,5000,1,100,1.729021,,,,,,,,,,,,,,,
,,,,,5000,1,100,1.707873,,,,,,,,,,,,,,,
,,,,,5000,1,101,1.730453,,,,,,,,,,,,,,,
,,,,,5000,1,101,1.714804,,,,,,,,,,,,,,,
,,,,,5000,1,102,1.747871,,,,,,,,,,,,,,,
,,,,,5000,1,102,1.730399,,,,,,,,,,,,,,,
,,,,,5000,1,103,1.697565,,,,,,,,,,,,,,,
,,,,,5000,1,103,1.684339,,,,,,,,,,,,,,,
,,,,,5000,1,104,1.710041,,,,,,,,,,,,,,,
,,,,,5000,1,104,1.695935,,,,,,,,,,,,,,,
,,,,,5000,1,105,1.770977,,,,,,,,,,,,,,,
,,,,,5000,1,105,1.742467,,,,,,,,,,,,,,,
,,,,,5000,1,106,1.767418,,,,,,,,,,,,,,,
,,,,,5000,1,106,1.770579,,,,,,,,,,,,,,,
,,,,,5000,1,107,1.831529,,,,,,,,,,,,,,,
,,,,,5000,1,107,1.808557,,,,,,,,,,,,,,,
,,,,,5000,1,108,1.891556,,,,,,,,,,,,,,,
,,,,,5000,1,108,1.870579,,,,,,,,,,,,,,,
,,,,,5000,1,109,2.257832,,,,,,,,,,,,,,,
,,,,,5000,1,109,2.235510,,,,,,,,,,,,,,,
,,,,,5000,1,110,1.970764,,,,,,,,,,,,,,,
,,,,,5000,1,110,1.949962,,,,,,,,,,,,,,,
,,,,,5000,1,111,1.862790,,,,,,,,,,,,,,,
,,,,,5000,1,111,1.855394,,,,,,,,,,,,,,,
,,,,,5000,1,112,2.116064,,,,,,,,,,,,,,,
,,,,,5000,1,112,2.106163,,,,,,,,,,,,,,,
,,,,,5000,1,113,1.934558,,,,,,,,,,,,,,,
,,,,,5000,1,113,1.916277,,,,,,,,,,,,,,,
,,,,,5000,1,114,2.368754,,,,,,,,,,,,,,,
,,,,,5000,1,114,2.347896,,,,,,,,,,,,,,,
,,,,,5000,1,115,2.011241,,,,,,,,,,,,,,,
,,,,,5000,1,115,1.997614,,,,,,,,,,,,,,,
,,,,,5000,1,116,1.918717,,,,,,,,,,,,,,,
,,,,,5000,1,116,1.903641,,,,,,,,,,,,,,,
,,,,,5000,1,117,2.284495,,,,,,,,,,,,,,,
,,,,,5000,1,117,2.270693,,,,,,,,,,,,,,,
,,,,,5000,1,118,1.975155,,,,,,,,,,,,,,,
,,,,,5000,1,118,1.956246,,,,,,,,,,,,,,,
,,,,,5000,1,119,1.989911,,,,,,,,,,,,,,,
,,,,,5000,1,119,1.975137,,,,,,,,,,,,,,,
,,,,,5000,1,120,2.242217,,,,,,,,,,,,,,,
,,,,,5000,1,120,2.213213,,,,,,,,,,,,,,,
,,,,,5000,1,121,2.014137,,,,,,,,,,,,,,,
,,,,,5000,1,121,1.993024,,,,,,,,,,,,,,,
,,,,,5000,1,122,2.567796,,,,,,,,,,,,,,,
,,,,,5000,1,122,2.538548,,,,,,,,,,,,,,,
,,,,,5000,1,123,1.974866,,,,,,,,,,,,,,,
,,,,,5000,1,123,6.563316,,,,,,,,,,,,,,,
,,,,,5000,1,124,2.131307,,,,,,,,,,,,,,,
,,,,,5000,1,124,2.104236,,,,,,,,,,,,,,,
,,,,,5000,1,125,2.005259,,,,,,,,,,,,,,,
,,,,,5000,1,125,1.988282,,,,,,,,,,,,,,,
,,,,,5000,1,126,2.360055,,,,,,,,,,,,,,,
,,,,,5000,1,126,2.417844,,,,,,,,,,,,,,,
,,,,,5000,1,127,2.233972,,,,,,,,,,,,,,,
,,,,,5000,1,127,2.218967,,,,,,,,,,,,,,,
,,,,,5000,1,128,2.094962,,,,,,,,,,,,,,,
,,,,,5000,1,128,2.082062,,,,,,,,,,,,,,,
,,,,,5000,2,1,20.719369,,,,,,,,,,,,,,,
,,,,,5000,2,1,20.716528,,,,,,,,,,,,,,,
,,,,,5000,2,2,10.368933,,,,,,,,,,,,,,,
,,,,,5000,2,2,20.722750,,,,,,,,,,,,,,,
,,,,,5000,2,3,7.094335,,,,,,,,,,,,,,,
,,,,,5000,2,3,20.717441,,,,,,,,,,,,,,,
,,,,,5000,2,4,5.362781,,,,,,,,,,,,,,,
,,,,,5000,2,4,20.716736,,,,,,,,,,,,,,,
,,,,,5000,2,5,4.307796,,,,,,,,,,,,,,,
,,,,,5000,2,5,20.714794,,,,,,,,,,,,,,,
,,,,,5000,2,6,3.641419,,,,,,,,,,,,,,,
,,,,,5000,2,6,20.714261,,,,,,,,,,,,,,,
,,,,,5000,2,7,3.127373,,,,,,,,,,,,,,,
,,,,,5000,2,7,20.714577,,,,,,,,,,,,,,,
,,,,,5000,2,8,2.731830,,,,,,,,,,,,,,,
,,,,,5000,2,8,20.714299,,,,,,,,,,,,,,,
,,,,,5000,2,9,2.474622,,,,,,,,,,,,,,,
,,,,,5000,2,9,20.713685,,,,,,,,,,,,,,,
,,,,,5000,2,10,2.206768,,,,,,,,,,,,,,,
,,,,,5000,2,10,20.714911,,,,,,,,,,,,,,,
,,,,,5000,2,11,2.062948,,,,,,,,,,,,,,,
,,,,,5000,2,11,20.713938,,,,,,,,,,,,,,,
,,,,,5000,2,12,1.934194,,,,,,,,,,,,,,,
,,,,,5000,2,12,20.713975,,,,,,,,,,,,,,,
,,,,,5000,2,13,1.780802,,,,,,,,,,,,,,,
,,,,,5000,2,13,20.713488,,,,,,,,,,,,,,,
,,,,,5000,2,14,1.633051,,,,,,,,,,,,,,,
,,,,,5000,2,14,20.713881,,,,,,,,,,,,,,,
,,,,,5000,2,15,1.531615,,,,,,,,,,,,,,,
,,,,,5000,2,15,20.714401,,,,,,,,,,,,,,,
,,,,,5000,2,16,1.456791,,,,,,,,,,,,,,,
,,,,,5000,2,16,20.713995,,,,,,,,,,,,,,,
,,,,,5000,2,17,1.479649,,,,,,,,,,,,,,,
,,,,,5000,2,17,20.713742,,,,,,,,,,,,,,,
,,,,,5000,2,18,1.477379,,,,,,,,,,,,,,,
,,,,,5000,2,18,20.712707,,,,,,,,,,,,,,,
,,,,,5000,2,19,1.493789,,,,,,,,,,,,,,,
,,,,,5000,2,19,20.713194,,,,,,,,,,,,,,,
