"blas multithreaded","tamano","threads","seg","icc omp+mkl","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","gcc omp+mkl","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","icc omp+atlas","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","gcc omp+atlas","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos"
,500,30,0.01,,250,1,79,0.003741,,250,1,79,0.00,,250,12,3,0.00,,250,12,3,0.01
,500,31,0.01,,250,1,80,0.007788,,250,1,80,0.01,,250,12,4,0.00,,250,12,4,0.00
,500,32,0.01,,250,1,80,0.003760,,250,1,80,0.00,,250,12,4,0.00,,250,12,4,0.01
,500,33,0.01,,250,1,81,0.007972,,250,1,81,0.01,,250,12,5,0.00,,250,12,5,0.00
,500,34,0.01,,250,1,81,0.003532,,250,1,81,0.00,,250,12,5,0.00,,250,12,5,0.00
,500,35,0.01,,250,1,82,0.008107,,250,1,82,0.01,,250,13,4,0.00,,250,13,4,0.00
,500,36,0.01,,250,1,82,0.003812,,250,1,82,0.00,,250,13,4,0.01,,250,13,4,0.01
,500,37,0.01,,250,1,83,0.008128,,250,1,83,0.01,,250,14,2,0.00,,250,14,2,0.00
,500,38,0.01,,250,1,83,0.003872,,250,1,83,0.00,,250,14,2,0.00,,250,14,2,0.01
,500,39,0.01,,250,1,84,0.008845,,250,1,84,0.01,,250,14,4,0.00,,250,14,4,0.00
,500,40,0.01,,250,1,84,0.004399,,250,1,84,0.00,,250,14,4,0.01,,250,14,4,0.01
,500,41,0.01,,250,1,85,0.009796,,250,1,85,0.01,,250,15,4,0.00,,250,15,4,0.00
,500,42,0.01,,250,1,85,0.005124,,250,1,85,0.01,,250,15,4,0.01,,250,15,4,0.01
,500,43,0.01,,250,1,86,0.009963,,250,1,86,0.01,,250,16,1,0.01,,250,16,1,0.01
,500,44,0.01,,250,1,86,0.005252,,250,1,86,0.01,,250,16,1,0.01,,250,16,1,0.01
,500,45,0.01,,250,1,87,0.009907,,250,1,87,0.01,,250,16,2,0.00,,250,16,2,0.00
,500,46,0.01,,250,1,87,0.005102,,250,1,87,0.00,,250,16,2,0.01,,250,16,2,0.01
,500,47,0.01,,250,1,88,0.010053,,250,1,88,0.01,,250,16,3,0.00,,250,16,3,0.00
,500,48,0.01,,250,1,88,0.005182,,250,1,88,0.01,,250,16,3,0.01,,250,16,3,0.01
,500,49,0.01,,250,1,89,0.009932,,250,1,89,0.01,,250,16,4,0.00,,250,16,4,0.01
,500,50,0.01,,250,1,89,0.005042,,250,1,89,0.01,,250,16,4,0.01,,250,16,4,0.01
,500,51,0.01,,250,1,90,0.010164,,250,1,90,0.01,,250,18,2,0.00,,250,18,2,0.01
,500,52,0.01,,250,1,90,0.005059,,250,1,90,0.01,,250,18,2,0.01,,250,18,2,0.01
,500,53,0.01,,250,1,91,0.010217,,250,1,91,0.01,,250,20,1,0.01,,250,20,1,0.01
,500,54,0.01,,250,1,91,0.004991,,250,1,91,0.01,,250,20,1,0.01,,250,20,1,0.01
,500,55,0.01,,250,1,92,0.010570,,250,1,92,0.01,,250,20,2,0.00,,250,20,2,0.00
,500,56,0.01,,250,1,92,0.005036,,250,1,92,0.01,,250,20,2,0.01,,250,20,2,0.01
,500,57,0.01,,250,1,93,0.010244,,250,1,93,0.01,,250,20,3,0.00,,250,20,3,0.00
,500,58,0.01,,250,1,93,0.004868,,250,1,93,0.01,,250,20,3,0.01,,250,20,3,0.01
,500,59,0.01,,250,1,94,0.010277,,250,1,94,0.01,,250,22,2,0.00,,250,22,2,0.00
,500,60,0.01,,250,1,94,0.004768,,250,1,94,0.00,,250,22,2,0.01,,250,22,2,0.01
,500,61,0.01,,250,1,95,0.010301,,250,1,95,0.01,,250,24,1,0.01,,250,24,1,0.01
,500,62,0.01,,250,1,95,0.004664,,250,1,95,0.01,,250,24,1,0.01,,250,24,1,0.01
,500,63,0.01,,250,1,96,0.010447,,250,1,96,0.01,,250,24,2,0.00,,250,24,2,0.00
,500,64,0.01,,250,1,96,0.004759,,250,1,96,0.00,,250,24,2,0.01,,250,24,2,0.01
,500,65,0.01,,250,1,97,0.009774,,250,1,97,0.01,,250,26,2,0.00,,250,26,2,0.00
,500,66,0.01,,250,1,97,0.003954,,250,1,97,0.00,,250,26,2,0.01,,250,26,2,0.01
,500,67,0.01,,250,1,98,0.010074,,250,1,98,0.01,,250,28,1,0.01,,250,28,1,0.01
